#
# Lista de municipios de las 32 entidades federativas
# Fuente: Instituto Nacional de Estadística y Geografía (INEGI)
# Enlace: http://www.inegi.org.mx/geo/contenidos/geoestadistica/catalogoclaves.aspx
#

#
# Palabras y letras removidas: "de", "del", "el", "gran", "la", "las", "los", "san", "santa", "santo", "y"
#

#
Casimiro			#Casimiro Castillo
Cihuatlán			#Cihuatlán
Zapotlán			#Zapotlán el Grande
Cocula				#Cocula
Colotlán			#Colotlán
Concepción			#Concepción de Buenos Aires
Buenos				#Concepción de Buenos Aires
Barragán			#Cuautitlán de García Barragán
Cuautla				#Cuautla
Cuquío				#Cuquío
Chapala				#Chapala
Chimaltitán			#Chimaltitán
Chiquilistlán			#Chiquilistlán
Degollado			#Degollado
Ejutla				#Ejutla
Encarnación			#Encarnación de Díaz
Díaz				#Encarnación de Díaz
Etzatlán			#Etzatlán
Grullo				#El Grullo
Guachinango			#Guachinango
Guadalajara			#Guadalajara
Hostotipaquillo			#Hostotipaquillo
Huejúcar			#Huejúcar
Huejuquilla			#Huejuquilla el Alto
Huerta				#La Huerta
Ixtlahuacán			#Ixtlahuacán de los Membrillos
Membrillos			#Ixtlahuacán de los Membrillos
Ixtlahuacán			#Ixtlahuacán del Río
Jalostotitlán			#Jalostotitlán
Jamay				#Jamay
Jesús				#Jesús María
Jilotlán			#Jilotlán de los Dolores
Dolores				#Jilotlán de los Dolores
Jocotepec			#Jocotepec
Juanacatlán			#Juanacatlán
Juchitlán			#Juchitlán
Lagos				#Lagos de Moreno
Moreno				#Lagos de Moreno
Limón				#El Limón
Magdalena			#Magdalena
Oro				#Santa María del Oro
Manzanilla			#La Manzanilla de la Paz
Paz				#La Manzanilla de la Paz
Mascota				#Mascota
Mazamitla			#Mazamitla
Mexticacán			#Mexticacán
Mezquitic			#Mezquitic
Mixtlán				#Mixtlán
Ocotlán				#Ocotlán
Ojuelos				#Ojuelos de Jalisco
Jalisco				#Ojuelos de Jalisco
Pihuamo				#Pihuamo
Poncitlán			#Poncitlán
Vallarta			#Puerto Vallarta
Purificación			#Villa Purificación
Quitupan			#Quitupan
Salto				#El Salto
Barranca			#San Cristóbal de la Barranca
Alejandría			#San Diego de Alejandría
